cod_departamento;cod_municipio;cod_postal;limite
11;001;110111;Ac 127-Ac 100-Limite Urbano-Au Norte
11;001;110121;Ac 147-Ac 127-Limite Urbano-Au Norte
11;001;110131;Ac 170-Ac 147-Limite Urbano-Au Norte
11;001;110141;Cl 205-Ac 170-Limite Urbano-Au Norte
11;001;110151;Limite Urbano-Cl  205-Limite Urbano-Au Norte
11;001;110211;Via La Calera-Limite Urbano-M. La Calera  Y  Limite Urbano-Limite Urbano
11;001;110221;Ac 100-Ac 72-Limite Urbano-Au Norte
11;001;110231;Ac 72-Ac 39-Limite Urbano-Ak 14
11;001;110311;Dg 39-Ac 19-Limite Urbano-Ak 14
11;001;110321;Ac 19-Ac 1-Limite Urbano-Ak 14
11;001;110411;Ac 1-Cl 20 S-Limite Urbano-Ak 10
11;001;110421;Cl 20 S-Cl 34 S  Y  36 S-Limite Urbano-Ak 10
11;001;110431;Cl 34 S Y  36 S-Cl 45 S  Y  46 S-Limite Urbano-Ak  10
11;001;110441;Cl 34 S  Y  36 S-Cl 74A S-Kr 20 E-Ac Guacamayas
11;001;110511;Tv  5C-Au Llano-Ak  51-Cl  71A S
11;001;110521;Cl  55 S-Cl  84 S-Limite Urbano-Ak  51
11;001;110531;Cl  81A S-Tv 11C  Y  Limite Urbano-Limite Urbano-Au Llano
11;001;110541;Au Llano-Limite Urbano-Au Llano  Y  Q.  Yomasa-Rio Tunjuelito
11;001;110551;Vereda Olarte-Rio Chisac√Å-Municipio De Chipaque-Rio Tunjuelito
11;001;110561;Rio Tunjuelito-Vereda Arrayan-Municipio De Chipaque-Vereda Los Arrayanes
11;001;110571;Vereda  Las  Mercedes-Vereda La Uni√Ìn-Vereda Los Arrayanes-Vereda Chisac√Å
11;001;110611;Au  Sur-Kr  25-Cl  47A  Y  Ac 50-Rio Tunjuelito
11;001;110621;Kr  25-Rio Tunjuelito-Cl 46A S- 47  Y  Ac  51-Rio Tunjuelito
11;001;110711;Cl  49 S-Cl  59 S-Kr  82B-Kr  113
11;001;110721;Cl  59 S-M. Soacha  Y  Rio Tunjuelito-Rio Tunjuelito-Rio Bogot√Å
11;001;110731;Rio Tunjuelito-Dg 73F S  Y  Kr 80I-Ak  80-Ak 77G  Y  M. Soacha
11;001;110741;Kr 80I- Ak 80 Y Rio Tunjuelito-Kr 77G   Y  Au Sur-Dg 57C S  Y  Rio Tunjuelito-Ak 77G
11;001;110811;Rio Fucha-Ac  6-Ak  86-Rio Bogot√Å
11;001;110821;Cl  16C-Cl 3  Y  26 S-Ak  72-Ak  86
11;001;110831;Ac  13-Ac 1 De Mayo-Ak  68-Ak  72
11;001;110841;Ac  1 De Mayo-Au Sur  Y  Rio Tunjuelito-Ak  68-Cl  44 S
11;001;110851;Cl  3-Ac  Villavicencio-Ac 1 De Mayo-Ak  86
11;001;110861;Ac  Villavicencio-Rio Tunjuelito-Rio Tunjuelito-Ak  86 Y  Kr 82B
11;001;110871;Ac  6-Cl  40 S-Ak  86-Rio Bogot√Å
11;001;110881;Cl  40 S-Cl  49 S-Ak  86-Rio Bogot√Å
11;001;110911;Ac  63-Ac  22-Ak  86-Rio Bogot√Å
11;001;110921;Ac  22-Cl 12- 15 Y Rio Bogot√Å-Ak  86-Rio Bogot√Å
11;001;110931;Ac  26-Rio Fucha-Ak  68-Ak  86
11;001;111011;Cl  99-Ac  80-Ak 96-Rio Bogot√Å  Y  R. Juan A.
11;001;111021;Rio Juan A.-  Cl 99  Y  93-Ac  80-Ak  68-Ak  96
11;001;111031;Ac  80-Ac  63-Ak  110-Rio Bogot√Å
11;001;111041;Ac  80-Ac  63-Ak  96-Ak  110
11;001;111051;Ac  80-Ac Salitre - 66A-Ak  72-Ak  96
11;001;111061;Ac  80-Ac 63-Ak  68-Ak  72
11;001;111071;Ac 66A-  Ak 72  Y  Ac 63-Ac  26-Ak  72-  Ac 63  Y  Ak 68-Tv 93-  Ac 63  Y  Ak 96
11;001;111111;Cl  138-Ac  100-Au Norte-Ak Suba
11;001;111121;Ac Suba-Ak  68-Ak Suba-Kr 91 Y Cl 93
11;001;111131;Ac Suba-Cl 99 Y Rio Juan Amarillo-Ak   91-Ak C. De Cali - Kr 104
11;001;111141;Ac Suba-Cl 99  Y  Rio Juan Amarillo-Ak C. De Cali - Kr 104-Tv 118  Y  Tv 127
11;001;111151;Ac Suba  Y  Tv 141Abis-Kr  161  Y  Rio Bogot√Å-Tv 118  Y  Tv 127-M. Cota  Y  Rio Bogot√Å
11;001;111156;Ac  170-Cl  138-Au Norte-Kr  92
11;001;111161;Cl  170-Ac Suba-Kr  92-Rio Bogot√Å
11;001;111166;Ac Guaymaral - Cl 235-Ac  170-Au Norte-Col. Colombo Americano
11;001;111171;Ac Guaymaral - Cl 235-Ac  Cota-Col. Colombo Americano-Rio Bogot√Å  Y  M. Cota
11;001;111176;Rio Bogot√Å  Y  M. Chia-Ac Guaymaral - Cl 235-Au Norte-Rio Bogot√Å  Y  M. Cota
11;001;111211;Ac  100-Ac  72-Au  Norte-Ak  68
11;001;111221;Ac  72-Ac  63-Ak Caracas - Ak  14-Ak  68
11;001;111311;Ac  63-Ac  26-Ak Caracas - Ak 14-Ak  30
11;001;111321;Ac  63-Dg  22A-Ak  30-Ak  68
11;001;111411;Ac  26-Ac  1-Ak Caracas - Ak 14-Ak  30
11;001;111511;Ac  1-Cl  22 S  Y  Ak  27-Ak  10-Au  Sur
11;001;111611;Dg  22A-Ac  3-Ak  30-Ak  68
11;001;111621;Ac  3-Au Sur-Ak  50-Ak  68
11;001;111631;Ac  3-Au Sur-Ak  30-Ak  50
11;001;111711;Ac Jimenez-Cl  4-Kr 4B E-  Ak Circunvalar  Y  Kr 3  E-Ak  10
11;001;111811;Ak  27-Ak Caracas-Ac  1 De Mayo-Cl 46A S  Y  47A S
11;001;111821;Ak Caracas-Ak  10-Ac 1 De Mayo-Cl  47 S
11;001;111831;Cl  47 S-Cl 49Bis S- Kr 5Q  Y  Cl 48P S-Cl 39B S  Y  39F S-Ak Caracas
11;001;111841;Cl 49Bis S- Kr 5Q  Y  Cl 48P S-Dg  53A S-Cl 48O S-Ak Caracas
11;001;111911;Dg  57C S-Ac Villavicencio-Rio Tunjuelito-Ac Villavicencio
11;001;111921;Au Sur-Cl 69A S  Y  69B S-Ak Villavicencio-Kr 77C  Y  77F
